#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	DRA04	46	0.16 uM (Inter 2)	4	0.16	intermediate 2	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	DRA04	47	100 uM (Inter 3)	4	100	intermediate 1	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs
4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	DRA04	48	100 uM (Inter 4)	4	100	intermediate 2	4Pat-08052022-Biosensor_LCMS_rep2-DRA04_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0 uM.fcs	DRA05	49	0 uM	5	0	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	DRA05	50	0.0064 uM	5	0.0064	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.0064 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.032 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.032 uM.fcs	DRA05	51	0.032 uM	5	0.032	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.032 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.16 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA05	52	0.16 uM	5	0.16	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.16 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.8 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA05	53	0.8 uM	5	0.8	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_0.8 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_100 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA05	54	100 uM	5	100	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_100 uM.fcs
5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_20 uM.fcs	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA05	55	20 uM	5	20	end	5Pat-08052022-Biosensor_LCMS_rep2-DRA05_DRA-LCMS-R2_Exponential_20 uM.fcs
