#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 6.25 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 6.25 uM.fcs	DRA-08312022_read9	60	6.25 uM	6.25	5	31-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 1_IAA 6.25 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0 uM.fcs	DRA-08312022_read9	61	0 uM	0	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.0000953 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.0000953 uM.fcs	DRA-08312022_read9	62	0.0000953 uM	9.53e-05	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.0000953 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.000381 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.000381 uM.fcs	DRA-08312022_read9	63	0.000381 uM	0.000381	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.000381 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.001525 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.001525 uM.fcs	DRA-08312022_read9	64	0.001525 uM	0.001525	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.001525 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.00610 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.00610 uM.fcs	DRA-08312022_read9	65	0.00610 uM	0.0061	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.00610 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.02441 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.02441 uM.fcs	DRA-08312022_read9	66	0.02441 uM	0.02441	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.02441 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.09765 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.09765 uM.fcs	DRA-08312022_read9	67	0.09765 uM	0.09765	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.09765 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.3906 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.3906 uM.fcs	DRA-08312022_read9	68	0.3906 uM	0.3906	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 0.3906 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 1.5625 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 1.5625 uM.fcs	DRA-08312022_read9	69	1.5625 uM	1.5625	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 1.5625 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 100 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 100 uM.fcs	DRA-08312022_read9	70	100 uM	100	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 100 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 25 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 25 uM.fcs	DRA-08312022_read9	71	25 uM	25	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 25 uM.fcs
5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 6.25 uM.fcs	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 6.25 uM.fcs	DRA-08312022_read9	72	6.25 uM	6.25	6	30-Aug-22	5Pat-08312022_Biosensor_DRA09_DRA_colony 2_IAA 6.25 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0 uM.fcs	DRA-11152022_read8	73	0 uM	0	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.000256 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.000256 uM.fcs	DRA-11152022_read8	74	0.000256 uM	0.000256	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.000256 uM.fcs
