#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#set: NA
#sample_set: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	set	sample_set	colony	FCS_File
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs	S-DRA02	48	6.25 uM	2	6.25	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	S-DRA03	49	0 uM	3	0	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	S-DRA03	50	0.0000953 uM	3	9.53e-05	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	S-DRA03	51	0.000381 uM	3	0.000381	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	S-DRA03	52	0.001525 uM	3	0.001525	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	S-DRA03	53	0.0061 uM	3	0.0061	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	S-DRA03	54	0.02441 uM	3	0.02441	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	S-DRA03	55	0.09765 uM	3	0.09765	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	S-DRA03	56	0.3906 uM	3	0.3906	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	S-DRA03	57	1.5625 uM	3	1.5625	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	S-DRA03	58	100 uM	3	100	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	S-DRA03	59	25 uM	3	25	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	S-DRA03	60	6.25 uM	3	6.25	5	3_1	1	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	S-DRA03	61	0 uM	3	0	6	3_2	2	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	S-DRA03	62	0.0000953 uM	3	9.53e-05	6	3_2	2	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	S-DRA03	63	0.000381 uM	3	0.000381	6	3_2	2	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs
3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	S-DRA03	64	0.001525 uM	3	0.001525	6	3_2	2	3Pat-09282022-Biosensor_Stationary-DRA03_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs
